res_id,age,sex,phone_number,marital_status,asal_kota,asal_provinsi
202203C1701179846,31,m,081727821874,kawin,KOTA MAGELANG,JAWA TENGAH
202203B201109026,25,m,081710819613,kawin,KABUPATEN NGADA,NUSA TENGGARA TIMUR
202403A801658283,37,m,081727781049,cerai mati,KOTA JAKARTA TIMUR,DKI JAKARTA
202203H202137999,41,m,082113884823,cerai mati,KABUPATEN MUNA,SULAWESI TENGGARA
202403H401873238,41,f,085621518388,kawin,KOTA MALANG,JAWA TIMUR
202303E801272421,30,f,085241372839,kawin,KABUPATEN KUNINGAN,JAWA BARAT
202303F1302126183,45,f,082127582668,cerai mati,KABUPATEN SIKKA,NUSA TENGGARA TIMUR
202403B1501324342,39,f,081720223750,cerai hidup,KOTA PAYAKUMBUH,SUMATERA BARAT
202203D501257426,41,m,081731424142,kawin,KABUPATEN KOLAKA UTARA,SULAWESI TENGGARA
202203D2001107296,36,m,081327768693,kawin,KABUPATEN KOLAKA UTARA,SULAWESI TENGGARA
202203F601243393,26,f,085640055708,kawin,KABUPATEN KEPAHIANG,BENGKULU
202203H1802294413,41,m,081733729154,cerai mati,KABUPATEN SIJUNJUNG,SUMATERA BARAT
202203H901431797,45,m,081229456836,kawin,KABUPATEN MAYBRAT,PAPUA BARAT
202203A201604186,39,m,081879797707,kawin,KABUPATEN KEBUMEN,JAWA TENGAH
202403B1201156087,41,m,085616644839,cerai hidup,KABUPATEN BREBES,JAWA TENGAH
202203H1901209011,36,f,082112095250,kawin,KABUPATEN NAGEKEO,NUSA TENGGARA TIMUR
202203B1401152918,32,m,082118506386,kawin,KOTA CILEGON,BANTEN
202303G301213614,44,m,081210947034,cerai mati,KABUPATEN MAMUJU TENGAH,SULAWESI BARAT
202403D1901263826,30,f,081727123042,kawin,KOTA TERNATE,MALUKU UTARA
202203G701183988,26,m,081721877899,belum kawin,KABUPATEN KEBUMEN,JAWA TENGAH
202403F1001329986,35,m,081715175965,kawin,KABUPATEN PULANG PISAU,KALIMANTAN TENGAH
202303D2301123613,37,f,081770170249,kawin,KABUPATEN NIAS UTARA,SUMATERA UTARA
202203F1401104557,45,m,085257393712,kawin,KABUPATEN BONE,SULAWESI SELATAN
202403D1001146841,39,f,081818911071,cerai mati,KOTA SABANG,ACEH
202203G1002337595,41,m,085626402772,cerai mati,KABUPATEN BIREUEN,ACEH
202303E102169870,35,f,081846204475,kawin,KABUPATEN TANJUNG JABUNG TIMUR,JAMBI
202203B2401141059,25,m,082178917443,belum kawin,KABUPATEN PADANG LAWAS UTARA,SUMATERA UTARA
202303D2802241417,33,m,082132157796,kawin,KABUPATEN BERAU,KALIMANTAN TIMUR
202203H801263500,30,m,081213186190,kawin,KABUPATEN CIAMIS,JAWA BARAT
202203F1601203366,31,f,081347788618,kawin,KOTA PADANG PANJANG,SUMATERA BARAT
202303C201338628,40,m,085623185126,cerai hidup,KABUPATEN PURBALINGGA,JAWA TENGAH
202203E702306142,34,f,081732397872,kawin,KABUPATEN BANYU ASIN,SUMATERA SELATAN
202303F1101113930,29,m,085617359634,kawin,KOTA JAKARTA TIMUR,DKI JAKARTA
202403G1301219716,28,f,081720637889,kawin,KABUPATEN NATUNA,KEPULAUAN RIAU
202403H2402144237,38,m,081719618685,kawin,KABUPATEN PASAMAN,SUMATERA BARAT
202403D1701146338,29,f,081728715113,kawin,KABUPATEN KONAWE KEPULAUAN,SULAWESI TENGGARA
202303G501210424,32,m,081845222559,kawin,KABUPATEN BANGGAI LAUT,SULAWESI TENGAH
202403F701840492,36,m,085670234072,kawin,KABUPATEN KEPULAUAN MERANTI,RIAU
202203G202891331,39,f,081718584706,kawin,KABUPATEN MAMBERAMO TENGAH,PAPUA
202203F801262359,40,m,085216362628,kawin,KABUPATEN OGAN KOMERING ULU SELATAN,SUMATERA SELATAN
202403F301173185,36,m,081725927481,kawin,KOTA JAKARTA UTARA,DKI JAKARTA
202403A401275540,43,f,085629504740,cerai hidup,KABUPATEN PARIGI MOUTONG,SULAWESI TENGAH
202203A601206031,38,m,085612692718,kawin,KOTA BENGKULU,BENGKULU
202403A1102678244,26,f,082194152746,belum kawin,KABUPATEN SINTANG,KALIMANTAN BARAT
202203F1701185213,25,m,085610457525,belum kawin,KABUPATEN MALAKA,NUSA TENGGARA TIMUR
202403D902457460,25,m,082131295014,kawin,KABUPATEN TANAH BUMBU,KALIMANTAN SELATAN
202303F1801368209,35,m,081222033786,kawin,KOTA SAWAH LUNTO,SUMATERA BARAT
202403B1801149933,31,f,085629343523,kawin,KABUPATEN BELITUNG,KEPULAUAN BANGKA BELITUNG
202403D401113526,35,m,085642132083,kawin,KOTA SOLOK,SUMATERA BARAT
202403B2201114740,25,f,081712444374,belum kawin,KABUPATEN KEPULAUAN SELAYAR,SULAWESI SELATAN
202303E1001264395,43,m,081273267202,kawin,KABUPATEN TANJUNG JABUNG BARAT,JAMBI
202403E201571358,43,f,081231046668,cerai hidup,KABUPATEN PURWAKARTA,JAWA BARAT
202403C1101101630,43,f,081223443441,cerai mati,KABUPATEN MOROWALI,SULAWESI TENGAH
202403G101130694,27,f,081715240668,belum kawin,KABUPATEN MINAHASA,SULAWESI UTARA
202303E602303076,37,m,081747499351,kawin,KABUPATEN MAROS,SULAWESI SELATAN
202203G801100622,34,m,081385997135,kawin,KOTA PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG
202203D2101228983,37,f,082122110952,cerai mati,KABUPATEN OGAN KOMERING ILIR,SUMATERA SELATAN
202303G1402245116,38,m,081334073333,kawin,KABUPATEN LUMAJANG,JAWA TIMUR
202203D2601151103,30,f,085697588578,kawin,KOTA JAKARTA PUSAT,DKI JAKARTA
202403C901487836,34,f,081312165810,kawin,KABUPATEN MEMPAWAH,KALIMANTAN BARAT
202403H1701127409,43,m,085699664970,cerai hidup,KABUPATEN TASIKMALAYA,JAWA BARAT
202203B701157125,37,f,082129824605,cerai hidup,KABUPATEN NDUGA,PAPUA
202303F1201241070,32,m,082117274240,kawin,KABUPATEN BENER MERIAH,ACEH
202203H1301295709,32,m,081249313781,kawin,KABUPATEN MUSI BANYUASIN,SUMATERA SELATAN
202203B601470767,45,m,081712371148,cerai mati,KABUPATEN NIAS BARAT,SUMATERA UTARA
202203C501226794,25,m,081823392165,kawin,KABUPATEN KARANG ASEM,BALI
202303C301125669,33,f,085614309282,kawin,KABUPATEN PEKALONGAN,JAWA TENGAH
202203H1102316053,25,f,081711764386,kawin,KABUPATEN MALUKU TENGGARA,MALUKU
202204D1901164765,42,m,081816534092,cerai hidup,KABUPATEN TORAJA UTARA,SULAWESI SELATAN
202404F901326641,34,f,081228954795,kawin,KABUPATEN BANGKA BARAT,KEPULAUAN BANGKA BELITUNG
202404B401216705,30,m,085214805351,kawin,KABUPATEN TASIKMALAYA,JAWA BARAT
202404H1301215987,25,f,081711454597,belum kawin,KABUPATEN PESISIR SELATAN,SUMATERA BARAT
202404H901425975,31,m,081724062994,kawin,KABUPATEN HALMAHERA SELATAN,MALUKU UTARA
202204H1501182617,32,f,085213243360,kawin,KABUPATEN ACEH JAYA,ACEH
202204F801423199,29,f,085230515529,kawin,KABUPATEN BENGKALIS,RIAU
202204B1901256452,40,m,085623637047,kawin,KABUPATEN NDUGA,PAPUA
202204D601316282,38,f,085633747420,cerai mati,KABUPATEN BENGKULU UTARA,BENGKULU
202404G1501462471,27,m,081827942912,belum kawin,KABUPATEN TANAH BUMBU,KALIMANTAN SELATAN
202404D2801741030,43,m,085232637248,kawin,KABUPATEN KARANG ASEM,BALI
202304D2702852366,30,m,085618319935,kawin,KABUPATEN JEMBER,JAWA TIMUR
202404C201164310,36,m,081216433858,kawin,KABUPATEN NIAS UTARA,SUMATERA UTARA
202204B801197239,44,m,081716443989,cerai mati,KABUPATEN YALIMO,PAPUA
202304C1801847516,31,m,082124428903,kawin,KABUPATEN REMBANG,JAWA TENGAH
202404E401308752,41,m,085654238979,kawin,KABUPATEN KEEROM,PAPUA
202304F301121757,40,m,085212060904,kawin,KOTA PARIAMAN,SUMATERA BARAT
202304A401278605,29,m,085677332877,kawin,KABUPATEN SABU RAIJUA,NUSA TENGGARA TIMUR
202204E801108719,38,m,081217644464,cerai hidup,KOTA PADANG,SUMATERA BARAT
202304F1201296937,25,m,081720542790,belum kawin,KOTA JAKARTA BARAT,DKI JAKARTA
202204C2001148004,25,m,082129637609,kawin,KABUPATEN KETAPANG,KALIMANTAN BARAT
202404B2001268674,25,m,085616261193,kawin,KOTA D U M A I,RIAU
202304C101147790,37,m,081817649917,cerai mati,KOTA JAKARTA PUSAT,DKI JAKARTA
202204E502117549,42,m,081728243317,cerai hidup,KABUPATEN BENGKULU SELATAN,BENGKULU
202204C901139635,28,m,082126644562,kawin,KOTA JAKARTA UTARA,DKI JAKARTA
202304D2001277197,30,m,085632275490,kawin,KABUPATEN DELI SERDANG,SUMATERA UTARA
202404C502174563,40,m,081216647606,cerai mati,KABUPATEN SUMBA TENGAH,NUSA TENGGARA TIMUR
202304E701884866,42,m,081813615231,cerai mati,KABUPATEN NIAS UTARA,SUMATERA UTARA
202404H1901142516,29,m,085232500960,kawin,KOTA TARAKAN,KALIMANTAN UTARA
202204G501308149,30,m,081887863773,kawin,KABUPATEN NATUNA,KEPULAUAN RIAU
202404D2601331110,28,m,082161797536,kawin,KOTA SERANG,BANTEN
202304C702113204,44,m,081221155413,cerai mati,KABUPATEN MUNA BARAT,SULAWESI TENGGARA
202204G1801173353,44,m,081219706652,cerai mati,KABUPATEN SUPIORI,PAPUA
202204C2101131088,29,m,081711928738,kawin,KABUPATEN DELI SERDANG,SUMATERA UTARA
202204H2001505193,30,m,081323926441,kawin,KABUPATEN PARIGI MOUTONG,SULAWESI TENGAH
202404G101282721,39,m,081257189332,cerai hidup,KABUPATEN WONOSOBO,JAWA TENGAH
202204A601160608,37,m,081717136153,cerai hidup,KOTA MATARAM,NUSA TENGGARA BARAT
202204G601297486,33,m,081222406606,kawin,KOTA TANJUNG PINANG,KEPULAUAN RIAU
202204D401287097,39,m,081292743189,kawin,KABUPATEN SAMPANG,JAWA TIMUR
202304A301887019,44,m,081885716012,cerai hidup,KABUPATEN KUTAI BARAT,KALIMANTAN TIMUR
202404G1101322919,36,m,082119029220,kawin,KABUPATEN MAPPI,PAPUA
202304H601186699,27,m,085627581704,kawin,KABUPATEN KOTA BARU,KALIMANTAN SELATAN
202404H2201172626,28,m,081399789555,kawin,KOTA LHOKSEUMAWE,ACEH
202204F201271209,34,m,081724046365,kawin,KOTA BANDAR LAMPUNG,LAMPUNG
202404H1101244647,41,m,082127297302,kawin,KABUPATEN KEPULAUAN SULA,MALUKU UTARA
202404H401238752,43,m,081734063273,cerai mati,KABUPATEN MESUJI,LAMPUNG
202204B1501333159,30,m,085221873044,kawin,KABUPATEN TANJUNG JABUNG TIMUR,JAMBI
202204B2402683619,37,m,081722021133,cerai hidup,KABUPATEN SUMBAWA,NUSA TENGGARA BARAT
202404B2201148440,35,m,081844019135,kawin,KABUPATEN JAYAWIJAYA,PAPUA
202204G1401291206,28,f,081797356250,belum kawin,KOTA PADANGSIDIMPUAN,SUMATERA UTARA
202204G202152887,35,f,081216927609,kawin,KABUPATEN PEGUNUNGAN BINTANG,PAPUA
202404H701171834,41,m,082140875905,cerai hidup,KABUPATEN SORONG,PAPUA BARAT
202204C602223288,44,f,081831189526,kawin,KABUPATEN ACEH TENGAH,ACEH
202304A702905622,43,m,081212880859,kawin,KABUPATEN HALMAHERA TIMUR,MALUKU UTARA
202204H2501185854,41,f,081228370300,cerai mati,KABUPATEN GORONTALO UTARA,GORONTALO
202204A801315338,25,m,085228506836,kawin,KOTA SEMARANG,JAWA TENGAH
202304G901425924,30,f,081220791288,kawin,KABUPATEN BOLAANG MONGONDOW UTARA,SULAWESI UTARA
202204D701261460,36,m,081722897702,kawin,KOTA BANJAR,JAWA BARAT
202204B301179861,31,m,081333409042,kawin,KOTA SABANG,ACEH
202204H1701339447,45,f,085217523744,kawin,KABUPATEN KAIMANA,PAPUA BARAT
202404B101303360,44,f,081719995018,cerai mati,KABUPATEN AGAM,SUMATERA BARAT
202404H801186252,38,m,082127822106,kawin,KABUPATEN DHARMASRAYA,SUMATERA BARAT
202304H1802121540,28,m,081727362762,belum kawin,KABUPATEN KEPULAUAN MERANTI,RIAU
202304G1601313448,33,f,081211817209,kawin,KABUPATEN BURU SELATAN,MALUKU
202404C1201315933,31,m,081246041090,kawin,KABUPATEN TOJO UNA-UNA,SULAWESI TENGAH
202204A201235672,27,f,081831584185,kawin,KABUPATEN KEPULAUAN SANGIHE,SULAWESI UTARA
202404E1602247621,41,m,085610423444,cerai mati,KABUPATEN GORONTALO,GORONTALO
202204B901173219,30,m,081323381994,kawin,KABUPATEN LABUHAN BATU SELATAN,SUMATERA UTARA
202404A1301275391,36,f,085660320279,kawin,KABUPATEN TANGERANG,BANTEN
202404D1001829653,36,f,081276240739,kawin,KABUPATEN SIGI,SULAWESI TENGAH
202304C401113416,40,f,081722065253,cerai hidup,KOTA SAWAH LUNTO,SUMATERA BARAT
202204H2301759657,40,m,081713949046,cerai hidup,KABUPATEN TANGGAMUS,LAMPUNG
202204E1301848777,37,m,082122749533,kawin,KOTA CIREBON,JAWA BARAT
202304E101756498,31,f,085278036188,kawin,KABUPATEN PADANG LAWAS UTARA,SUMATERA UTARA
202404H301954737,34,m,082124677829,kawin,KABUPATEN POHUWATO,GORONTALO
202204A1201201535,30,f,082121730830,kawin,KOTA BUKITTINGGI,SUMATERA BARAT
202304D101141035,38,m,085633103323,cerai mati,KABUPATEN BANDUNG,JAWA BARAT
202404C1101120516,31,f,082118100047,kawin,KABUPATEN FLORES TIMUR,NUSA TENGGARA TIMUR
202404F1302138965,27,m,081820162050,kawin,KABUPATEN SUKABUMI,JAWA BARAT
202204F1001167407,30,f,081312446715,kawin,KABUPATEN BIREUEN,ACEH
202204D2401714192,44,m,082126819800,cerai hidup,KOTA MALANG,JAWA TIMUR
202404A901162794,29,m,085222046016,kawin,KABUPATEN TABALONG,KALIMANTAN SELATAN
202404B1201319750,26,f,082112989518,belum kawin,KABUPATEN TANAH LAUT,KALIMANTAN SELATAN
202304A1401230276,36,m,081213067408,kawin,KABUPATEN SIMALUNGUN,SUMATERA UTARA
202204H1401266437,33,m,081822437426,kawin,KOTA BATU,JAWA TIMUR
202204E1101238248,40,f,085619874736,cerai mati,KABUPATEN BINTAN,KEPULAUAN RIAU
202204D1702224691,44,m,081723953154,cerai mati,KABUPATEN NUNUKAN,KALIMANTAN UTARA
202404G301688096,34,f,082174289460,kawin,KABUPATEN MUSI RAWAS UTARA,SUMATERA SELATAN
202404B202322370,36,m,082111730081,kawin,KABUPATEN BOMBANA,SULAWESI TENGGARA
202204H501102478,37,f,081726663287,cerai mati,KABUPATEN LAMPUNG BARAT,LAMPUNG
202204A101183585,25,m,082129164967,kawin,KABUPATEN SRAGEN,JAWA TENGAH
202204C1501285096,34,m,085651601869,kawin,KOTA JAKARTA SELATAN,DKI JAKARTA
202404F502164267,30,f,082111605064,kawin,KABUPATEN GRESIK,JAWA TIMUR
202204F1501120952,28,m,085614852786,belum kawin,KABUPATEN HALMAHERA BARAT,MALUKU UTARA
202204E1502221383,28,f,085621100038,belum kawin,KABUPATEN KARANG ASEM,BALI
202204D1801293350,45,m,081229500831,cerai hidup,KABUPATEN MANGGARAI BARAT,NUSA TENGGARA TIMUR
202304D501193423,26,f,082132719254,kawin,KABUPATEN ROTE NDAO,NUSA TENGGARA TIMUR
202304F401153396,25,m,081825402845,belum kawin,KABUPATEN BADUNG,BALI
202404F1601237891,44,f,082129716131,cerai hidup,KABUPATEN CIREBON,JAWA BARAT
202304F1701944800,38,f,082112752020,kawin,KOTA GORONTALO,GORONTALO
202304E1001625646,35,m,081817255928,kawin,KABUPATEN KARANGANYAR,JAWA TENGAH
202404D1401222944,44,m,085679127110,kawin,KABUPATEN PASURUAN,JAWA TIMUR
202204G1201140324,30,m,085230735598,kawin,KABUPATEN TANA TIDUNG,KALIMANTAN UTARA
202204A1701305934,28,f,081732492472,belum kawin,KABUPATEN PATI,JAWA TENGAH
202404C1701189048,33,m,081233574556,kawin,KABUPATEN KEPULAUAN ANAMBAS,KEPULAUAN RIAU
202404F701387887,41,m,081324067219,cerai hidup,KABUPATEN DEIYAI,PAPUA
202404C301161984,27,m,081869214346,kawin,KABUPATEN PAMEKASAN,JAWA TIMUR
202204C1601627721,28,f,082126881355,belum kawin,KABUPATEN ASMAT,PAPUA
202204G1701203205,32,f,081315384988,kawin,KABUPATEN KEEROM,PAPUA
202404B501297795,25,f,081727561315,kawin,KABUPATEN TELUK WONDAMA,PAPUA BARAT
202404B1401281974,32,m,081310625065,kawin,KABUPATEN BANDUNG,JAWA BARAT
202304A502155370,29,f,081762235177,kawin,KABUPATEN PADANG PARIAMAN,SUMATERA BARAT
202204H102127990,35,f,082120263809,kawin,KOTA PADANG PANJANG,SUMATERA BARAT
202204H1201214717,37,m,081389987116,kawin,KABUPATEN PURBALINGGA,JAWA TENGAH
202404B1101150111,42,f,081724426573,kawin,KABUPATEN PURWAKARTA,JAWA BARAT
202204B1001379337,38,m,085621187870,kawin,KABUPATEN LAMPUNG UTARA,LAMPUNG
202404B1601128953,32,f,085623145184,kawin,KOTA PAREPARE,SULAWESI SELATAN
202304C801243624,43,m,085698667637,kawin,KABUPATEN ACEH UTARA,ACEH
202204D2301330384,28,m,081212377996,belum kawin,KABUPATEN MAPPI,PAPUA
202204D201192978,43,f,081813271939,kawin,KOTA MANADO,SULAWESI UTARA
202404A1501408083,26,m,081212653024,belum kawin,KABUPATEN INTAN JAYA,PAPUA
202204F101231580,38,m,085295848659,kawin,KABUPATEN HULU SUNGAI UTARA,KALIMANTAN SELATAN
202404F1101151351,33,m,081734200510,kawin,KABUPATEN MUSI RAWAS UTARA,SUMATERA SELATAN
202304D1101972339,44,f,081823299151,cerai mati,KOTA D U M A I,RIAU
202404A1901780993,36,m,081294052065,kawin,KABUPATEN KUNINGAN,JAWA BARAT
202204D1601588854,35,m,085213659571,kawin,KABUPATEN MALAKA,NUSA TENGGARA TIMUR
202304A1101266245,43,m,085221959172,cerai mati,KABUPATEN KEDIRI,JAWA TIMUR
202204C1901257804,33,f,081711466939,kawin,KABUPATEN SANGGAU,KALIMANTAN BARAT
202404D2501160865,28,m,081725932685,kawin,KABUPATEN BULUKUMBA,SULAWESI SELATAN
202304B1301147196,42,m,082114257162,cerai hidup,KOTA TUAL,MALUKU
202204H2401196089,38,f,081793211637,cerai hidup,KOTA KOTAMOBAGU,SULAWESI UTARA
202404A1801142793,42,m,085620168795,cerai hidup,KABUPATEN SAMPANG,JAWA TIMUR
202404G1001304833,44,m,081320796551,cerai mati,KABUPATEN PASAMAN,SUMATERA BARAT
202204F601335078,44,f,081721690516,cerai hidup,KABUPATEN SUKOHARJO,JAWA TENGAH
202304B2301126887,44,f,085219456781,cerai hidup,KABUPATEN LUWU,SULAWESI SELATAN
202404D2101228615,36,m,081226815277,kawin,KOTA MAGELANG,JAWA TENGAH
202204H201323800,42,m,081745291604,kawin,KOTA MATARAM,NUSA TENGGARA BARAT
202204E1201247964,42,f,085218914736,cerai hidup,KABUPATEN ROKAN HULU,RIAU
202304C1001335689,40,m,081794815731,cerai mati,KABUPATEN BANGGAI KEPULAUAN,SULAWESI TENGAH
202204D301167570,25,m,081864480953,belum kawin,KABUPATEN SIKKA,NUSA TENGGARA TIMUR
202204C1301250375,29,m,082115729402,kawin,KABUPATEN ACEH UTARA,ACEH
202304B1702291010,39,f,082118567888,cerai mati,KABUPATEN MAGELANG,JAWA TENGAH
202304H1001113075,34,f,085660807185,kawin,KABUPATEN KERINCI,JAMBI
